phi,Oxygen Concentration (molecules*cm^-3 *10^-18),CPT(563),N2,O2(6),C5H8(522),C5H8O(825),C3H4O(165),CH3CHO(41)
3.0,0.12233,0.00230152402130911,0.9825,0.008647739460452717,0.0005778676796996887,0.00001753611591981373,0.0003570087621000535,0.00003757150574922546
2.0,0.1835,0.0015079691984741896,0.97625,0.012082306859817284,0.0005783821377485118,0.000017816176103303737,0.0003331375714106832,0.000050325925733757924
1.75,0.20962,0.001362169208689018,0.973571429,0.014017973407568171,0.0005812994557628804,0.000018016003860967798,0.0003135629876485548,0.0000500625120581321
1.5,0.24456,0.001247479955097413,0.97,0.01692405124859951,0.0005941309394036923,0.000018606333443038556,0.00028954511441990486,0.00004760516066261941
1.25,0.29347,0.0011639800516399638,0.965,0.021387999990840147,0.0006209710460845984,0.000019752825510021533,0.00026152644191795865,0.000043055941699071024
1.1,0.33349,0.0011276195899360727,0.960909091,0.025235111910475855,0.0006450372448474148,0.00002076417605294696,0.00024282305334782006,0.000039498686381712243
1.0,0.36699,0.0011084415325914667,0.9575,0.02851706640167037,0.0006646649058015645,0.0000215876580163365,0.00022953514052528252,0.00003686016241591677
0.9,0.40744,0.001092854850725291,0.953333333,0.03258567176236549,0.0006872581296883079,0.00002253696448051115,0.00021556327524678155,0.00003405388229335187
0.75,0.48933,0.0010752402710855588,0.945,0.04082673537092047,0.0007268299657561821,0.000024205622850216206,0.00019326006372309375,0.00002960965932261955
0.65,0.56436,0.0010666285194185492,0.937307692,0.04849378544486342,0.0007570464009590471,0.00002548421050942666,0.00017744775236981286,0.00002653502177975429
0.6,0.61116,0.0010630605943688616,0.9325,0.05329955427531173,0.0007733093839771655,0.00002617317502162291,0.00016924435682596361,0.000024972618950850416
0.55,0.66697,0.001059886113003328,0.926818182,0.058986463548672374,0.0007903402857445936,0.000026894644350272595,0.00016083440494025063,0.000023395507377432226
0.5,0.73349,0.001057025203716857,0.92,0.06581660819826504,0.0008081346168867307,0.000027647765170455254,0.00015220921370200395,0.00002180382570842148
0.45,0.81519,0.0010543925588602945,0.911666667,0.07416854408775389,0.0008266838773833505,0.00002843127353560031,0.00014335671385866503,0.000020196176840748047
0.4,0.91709,0.0010518972276696717,0.90125,0.08461004070926668,0.0008459725648925059,0.000029243391218189267,0.00013425929882812033,0.000018569043406989044
0.35,1.0482,0.0010494432317880663,0.887857143,0.09803314930928175,0.0008659715471799226,0.000030081682063183706,0.00012489020744865093,0.000016915870658367166
0.31,1.18334,0.0010474435046725831,0.874032258,0.11188506426286779,0.0008824447189958358,0.0000307689667030668,0.00011717166963410521,0.00001556733601985488
0.28,1.31012,0.0010458897843377622,0.861071429,0.12486678459051008,0.0008950410137374436,0.00003129269894296347,0.00011123165253422383,0.000014535278082890298
0.25,1.46734,0.0010442683141022964,0.845,0.14095827176090128,0.0009077982136006676,0.00003182214816383666,0.00010514002654199117,0.000013479862382475324
0.23,1.59493,0.0010431414380386635,0.831956522,0.15401363229667317,0.000916357669123334,0.00003217748234114187,0.00010098093623524276,0.000012759887200190922
0.2,1.83417,0.0010413727703200205,0.8075,0.17848312451393888,0.0009291894587762854,0.000032712330823160256,0.00009456617947578913,0.00001164859109270237
0.19,1.93071,0.001040761018065144,0.797631579,0.18835375018003703,0.0009334363463984231,0.00003289062527442012,0.00009237311991569795,0.000011268071294659015
0.17,2.15785,0.0010395030900632195,0.774411765,0.21157287643406697,0.0009418177793735994,0.00003324617815885373,0.00008788907601421371,0.000010488632207512537
0.15,2.44557,0.0010381985715532944,0.745,0.24097373028523078,0.0009499289928525172,0.00003359851640274477,0.00008325052736347132,9.68003929891033e-6
0.13,2.75147,0.0010368460780478942,0.706538462,0.27940757093203505,0.0009575378881248392,0.00003394412990011629,0.00007841826223294403,8.835337380115914e-6
0.11,3.33486,0.0010354415888229366,0.654090909,0.3317989365716572,0.0009642302463973652,0.00003427671484341732,0.00007333427452210316,7.945406120314711e-6
0.1,3.66835,0.0010347179092812715,0.62,0.3658447349483626,0.0009670104986516471,0.00003443473603562301,0.0000706713759076884,7.479828967864004e-6
