phi,Oxygen Concentration (molecules*cm^-3 *10^-18),CPT(563),N2,O2(6),C5H8(522),C5H8O(825)rs,C3H4O(165),CH3CHO(41),O2,CPT,C5H8,C5H8O,C3H4O,CH3CHO,C5H8O(825)
3.0,0.12233,0.0023367519055745366,0.9825,0.008587496312896792,0.00048125389173142444,0.000027749002490987605,0.0003435076248958558,0.00003903061821625285,0.008587496312896792,0.0023367519055745366,0.00048125389173142444,0.000027749002490987605,0.0003435076248958558,0.00003903061821625285,0.000027749002490987605
2.0,0.1835,0.0015989308804400745,0.97625,0.012207021555036945,0.0004656705047110354,0.00003328459135947502,0.00031758517538229484,0.00005056647736456602,0.012207021555036945,0.0015989308804400745,0.0004656705047110354,0.00003328459135947502,0.00031758517538229484,0.00005056647736456602,0.00003328459135947502
1.75,0.20962,0.0014526250154799135,0.973571429,0.014163879635037971,0.0004627142261257488,0.00003467752913726553,0.000298376485272414,0.00005030984622432939,0.014163879635037971,0.0014526250154799135,0.0004627142261257488,0.00003467752913726553,0.000298376485272414,0.00005030984622432939,0.00003467752913726553
1.5,0.24456,0.001333743664544831,0.97,0.017074943265790957,0.00046607814341727505,0.0000365072786138031,0.000274418081515871,0.00004790407566747158,0.017074943265790957,0.001333743664544831,0.00046607814341727505,0.0000365072786138031,0.000274418081515871,0.00004790407566747158,0.0000365072786138031
1.25,0.29347,0.0012445201056288156,0.965,0.02153453009750162,0.0004787126644993793,0.00003905657996531839,0.00024608754157019963,0.00004331402100292143,0.02153453009750162,0.0012445201056288156,0.0004787126644993793,0.00003905657996531839,0.00024608754157019963,0.00004331402100292143,0.00003905657996531839
1.1,0.33349,0.0012047356406417458,0.960909091,0.025379855988681574,0.0004916004230792681,0.000041030135777066306,0.00022707673048711063,0.00003963945273938569,0.025379855988681574,0.0012047356406417458,0.0004916004230792681,0.000041030135777066306,0.00022707673048711063,0.00003963945273938569,0.000041030135777066306
1.0,0.36699,0.0011834556460233855,0.9575,0.02866324102846379,0.0005025612838457914,0.00004255383633130491,0.00021356808215702882,0.0000368754902081965,0.02866324102846379,0.0011834556460233855,0.0005025612838457914,0.00004255383633130491,0.00021356808215702882,0.0000368754902081965,0.00004255383633130491
0.9,0.40744,0.0011659942893633383,0.953333333,0.03273694193090701,0.0005154585928130072,0.000044252458234278595,0.00019938573135168166,0.0000339050365799899,0.03273694193090701,0.0011659942893633383,0.0005154585928130072,0.000044252458234278595,0.00019938573135168166,0.0000339050365799899,0.000044252458234278595
0.75,0.48933,0.0011461720357377806,0.945,0.04099619701752211,0.0005384571003551231,0.00004713753691164587,0.00017682991780928407,0.000029146351710403394,0.04099619701752211,0.0011461720357377806,0.0005384571003551231,0.00004713753691164587,0.00017682991780928407,0.000029146351710403394,0.00004713753691164587
0.65,0.56436,0.0011366684474861325,0.937307692,0.048685594909009776,0.0005562179655826564,0.000049287949793583766,0.0001609187483041708,0.000025823673218204677,0.048685594909009776,0.0011366684474861325,0.0005562179655826564,0.000049287949793583766,0.0001609187483041708,0.000025823673218204677,0.000049287949793583766
0.6,0.61116,0.0011329018963737248,0.9325,0.05350668939934043,0.000565823925969162,0.000050431115346131564,0.00015269289154715783,0.00002412872286686307,0.05350668939934043,0.0011329018963737248,0.000565823925969162,0.000050431115346131564,0.00015269289154715783,0.00002412872286686307,0.000050431115346131564
0.55,0.66697,0.00112974555962556,0.926818182,0.0592123332558972,0.0005759135992231315,0.000051619378166950684,0.00014428057549106777,0.000022415341743927354,0.0592123332558972,0.00112974555962556,0.0005759135992231315,0.000051619378166950684,0.00014428057549106777,0.000022415341743927354,0.000051619378166950684
0.5,0.73349,0.0011271757135681742,0.92,0.06606522935051344,0.0005864892026630845,0.00005285266346725801,0.00013567427588401102,0.000020685635519881904,0.06606522935051344,0.0011271757135681742,0.0005864892026630845,0.00005285266346725801,0.00013567427588401102,0.000020685635519881904,0.00005285266346725801
0.45,0.81519,0.0011251838696491557,0.911666667,0.07444468406188381,0.0005975560397596801,0.000054131159986144016,0.0001268626964812009,0.000018940734291569746,0.07444468406188381,0.0011251838696491557,0.0005975560397596801,0.000054131159986144016,0.0001268626964812009,0.000018940734291569746,0.000054131159986144016
