phi,Oxygen Concentration (molecules*cm^-3 *10^-18),CPT(563),N2,O2(6),C5H8(522),C5H8O(825),C3H4O(165),CH3CHO(41)
3.0,0.12233,0.002337655895788256,0.9825,0.008589543099357179,0.00047918693962085366,0.0000276717800212224,0.00034510613370136256,0.00003907025784073752
2.0,0.1835,0.001597497912016795,0.97625,0.0122010297695109,0.0004634878105761193,0.0000331887044592794,0.0003190665974530638,0.00005068048504298135
1.75,0.20962,0.001451037350094026,0.973571429,0.014156330454450491,0.00046056237466491994,0.00003457656161482777,0.0002997707620965278,0.00005042383140745884
1.5,0.24456,0.001332147095554161,0.97,0.017066318589137337,0.0004639991315329861,0.00003640354589410303,0.00027572414096666074,0.000048008637999734727
1.25,0.29347,0.0012430254451571746,0.965,0.021525397318964638,0.00047675079067617976,0.00003895340223877866,0.00024730453134609186,0.00004340220573955165
1.1,0.33349,0.0012033454901768342,0.960909091,0.025370721142395213,0.0004897333638705724,0.00004092946124765641,0.00022823574452384207,0.00003971584894248119
1.0,0.36699,0.0011821526280287472,0.9575,0.02865424550622034,0.0005007701440801537,0.00004245604371817531,0.00021468422773518708,0.00003694360793507983
0.9,0.40744,0.0011647933973641534,0.953333333,0.032728210603771915,0.0005137558432384803,0.000044158781202627604,0.00020045397078482293,0.000033964707745689944
0.75,0.48933,0.001145156623507348,0.945,0.040988126906794056,0.0005369164231855758,0.00004705303514751766,0.0001778132601023032,0.00002919325055703178
0.65,0.56436,0.001135802458009234,0.937307692,0.04867816718796408,0.0005548104079866,0.00004921217919819183,0.0001618341050300724,0.00002586207524195873
0.6,0.61116,0.0011321198251924656,0.9325,0.05349965062786565,0.0005644922382488384,0.000050360698240209005,0.0001535700575265816,0.000024162894272793075
0.55,0.66697,0.0011290543884631445,0.926818182,0.05920573208114517,0.0005746649908798388,0.00005155508750662167,0.00014511635444072613,0.00002244529792814341
0.5,0.73349,0.001126583190497056,0.92,0.06605911708604474,0.0005853317892238398,0.00005279537536565342,0.00013646513224557886,0.000020711395142965114
0.45,0.81519,0.0011246986511212948,0.911666667,0.07443911467682501,0.0005964990084690848,0.000054081872101393406,0.00012760470764078415,0.000018962321633314473
0.4,0.91709,0.001123417396364495,0.90125,0.08491444316709192,0.000608177716824864,0.00005541546877014674,0.00011851744975895168,0.00001719787806581664
0.35,1.0482,0.001122794552061091,0.887857143,0.0983783820740012,0.0006203849046847465,0.00005679811566138955,0.00010917637952343392,0.000015415963326852083
0.31,1.18334,0.0011228460653719553,0.874032258,0.11226909023995005,0.0006305459909220718,0.000057941977441142774,0.0001014932849808015,0.000013974668536849732
0.28,1.31012,0.0011232696076635934,0.861071429,0.1252842064919996,0.0006384046176937142,0.00005882384197233423,0.0000955881318208315,0.000012881754294884522
0.25,1.46734,0.0011240932132441444,0.845,0.14141347459003262,0.0006464685439616484,0.00005972823698361424,0.00008953995761763382,0.000011775583186551447
0.23,1.59493,0.00112490751756842,0.831956522,0.1544968701227651,0.0006519550193683771,0.000060344775713561545,0.000085416027465069,0.000011028903310142308
0.2,1.83417,0.0011266121014099938,0.8075,0.1790135302757912,0.0006603308881160769,0.00006129174024894778,0.00007906749807240898,9.89124397841052e-6
0.19,1.93071,0.0011273301422516536,0.797631579,0.18890146917988565,0.0006631532042747361,0.00006161359351683001,0.0000769015376540885,9.506353230868499e-6
0.17,2.15785,0.001129028018307802,0.774411765,0.21215806975374232,0.0006688185405533485,0.0000622667282245712,0.00007248269672622182,8.726262958468349e-6
0.15,2.44557,0.0011311211718191474,0.745,0.2416009283370854,0.0006744594259254005,0.00006293173094455667,0.00006793035116957886,7.929947679630777e-6
0.13,2.75147,0.001133666326547116,0.706538462,0.2800825823215491,0.000679964610325838,0.00006360573529532026,0.00006321737360010941,7.113839486057703e-6
0.11,3.33486,0.0011367112966843799,0.654090909,0.3325296553284794,0.0006851182293128481,0.00006428107350392753,0.000058306717134989115,6.273645282961033e-6
0.1,3.66835,0.0011384288522880207,0.62,0.3666073279411881,0.0006874417132231984,0.00006461424294273397,0.00005576158444540836,5.8429992867195655e-6
